ID,CITY,STATE,INSTALL DATE
SJC,SAN JOSE,CA,3/8/2007
SMF,SACRAMENTO,CA,3/19/2008
SMO,SANTA MONICA,CA,4/18/2007
SMX,SANTA MARIA,CA,6/6/2007
SNA,SANTA ANA,CA,8/15/2007
SNS,SALINAS,CA,2/6/2007
STS,SANTA ROSA,CA,3/14/2007
TRM,THERMAL,CA,9/28/2006
TVL,SOUTH LAKE TAHOE,CA,5/17/2007
UKI,UKIAH,CA,10/12/2006
VCB,VACAVILLE,CA,8/7/2007
VNY,VAN NUYS,CA,6/7/2007
WJF,LANCASTER,CA,4/5/2007
WVI,WATSONVILLE,CA,2/6/2007
AKO,AKRON,CO,1/25/2007
ALS,ALAMOSA,CO,5/24/2007
APA,DENVER,CO,2/6/2007
ASE,ASPEN,CO,3/15/2007
CAG,CRAIG,CO,3/26/2007
CEZ,CORTEZ,CO,4/4/2007
COS,COLORADO SPRINGS,CO,9/23/2008
DEN,DENVER,CO,9/12/2005
DRO,DURANGO,CO,4/3/2007
EEO,MEEKER,CO,3/13/2007
GJT,GRAND JUNCTION,CO,3/13/2007
ITR,BURLINGTON,CO,11/7/2005
LAA,LAMAR,CO,8/26/2008
LHX,LA JUNTA,CO,12/16/2005
LIC,LIMON,CO,10/4/2005
LXV,LEADVILLE,CO,8/28/2008
MTJ,MONTROSE,CO,10/27/2005
PUB,PUEBLO,CO,4/4/2007
RIL,RIFLE,CO,10/27/2005
SPD,SPRINGFIELD,CO,10/1/2008
TAD,TRINIDAD,CO,10/28/2008
PGSN,OBYAN,CQ,1/15/2003
BDL,WINDSOR LOCKS,CT,4/9/2007
BDR,BRIDGEPORT,CT,6/17/2009
DXR,DANBURY,CT,7/15/2009
GON,GROTON/NEW LONDON,CT,11/17/2008
HFD,HARTFORD,CT,10/23/2008
HVN,NEW HAVEN,CT,3/31/2009
IJD,WILLIMANTIC,CT,10/27/2005
MMK,MERIDEN,CT,10/7/2008
DCA,WASHINGTON,DC,9/26/2006
GED,GEORGETOWN,DE,8/26/2008
ILG,WILMINGTON,DE,9/18/2008
40J,PERRY/FOLEY,FL,5/17/2007
AAF,APALACHICOLA,FL,5/22/2007
APF,NAPLES,FL,7/28/2009
BKV,BROOKSVILLE,FL,5/24/2007
CEW,CRESTVIEW,FL,3/29/2007
CRG,JACKSONVILLE,FL,3/5/2007
CTY,CROSS CITY,FL,5/15/2007
DAB,DAYTONA BEACH,FL,1/31/2007
DTS,DESTIN,FL,3/14/2007
EYW,KEY WEST,FL,10/22/2004
FLL,FORT LAUDERDALE,FL,8/1/2009
FMY,FORT MYERS,FL,2/6/2009
FPR,FORT PIERCE,FL,4/16/2007
FXE,FORT LAUDERDALE,FL,7/30/2009
GIF,WINTER HAVEN,FL,1/5/2009
GNV,GAINESVILLE,FL,3/9/2007
HWO,HOLLYWOOD,FL,8/1/2009
JAX,JACKSONVILLE,FL,2/27/2007
LEE,LEESBURG,FL,6/6/2007
MAI,MARIANNA,FL,5/25/2007
MCO,ORLANDO,FL,5/31/2007
MIA,MIAMI,FL,7/14/2009
MLB,MELBOURNE,FL,9/15/2006
MTH,MARATHON,FL,2/27/2007
OPF,MIAMI,FL,7/8/2009
ORL,ORLANDO,FL,5/10/2007
PBI,WEST PALM BEACH,FL,7/21/2009
PFN,PANAMA CITY,FL,5/23/2007
PGD,PUNTA GORDA,FL,2/4/2009
PIE,ST PETERSBURG-CLEARWATE,FL,4/16/2007
PMP,POMPANO BEACH,FL,7/17/2009
PNS,PENSACOLA,FL,3/27/2007
RSW,FORT MYERS,FL,2/9/2009
SFB,SANFORD,FL,5/3/2007
SPG,ST PETERSBURG,FL,1/8/2009
SRQ,SARASOTA/BRADENTON,FL,1/14/2009
TLH,TALLAHASSEE,FL,5/9/2007
TMB,MIAMI,FL,8/13/2009
